State,District,Latitude,Longitude,District code,State name,Population,Male,Female,Literate,Male_Literate,Female_Literate,SC,Male_SC,Female_SC,ST,Male_ST,Female_ST,Workers,Male_Workers,Female_Workers,Non_Workers,Agricultural_Workers,Household_Workers,Other_Workers,Hindus,Muslims,Christians,Sikhs,Buddhists,Jains,Others_Religions,Religion_Not_Stated,LPG_or_PNG_Households,Housholds_with_Electric_Lighting,Households_with_Internet,Households_with_Computer,Rural_Households,Urban_Households,Households,Below_Primary_Education,Primary_Education,Secondary_Education,Higher_Education,Graduate_Education,Age_Group_0_29,Age_Group_30_49,Age_Group_50,Households_with_Bicycle,Households_with_Car_Jeep_Van,Households_with_Radio_Transistor,Households_with_Scooter_Motorcycle,Households_with_Landline_only,Households_with_Mobile_only,Households_with_TV_Computer_Laptop_Telephone_mobile_phone_and_Scooter_Car,Households_with_Television,Households_with_Telephone_Mobile_Phone,Households_with_Telephone_Mobile_Phone_Both,Having_bathing_facility_Total_Households,Having_latrine_facility_within_the_premises_Total_Households,Ownership_Owned_Households,Ownership_Rented_Households,Main_source_of_drinking_water_Handpump_Tubewell_Borewell_Households,Main_source_of_drinking_water_River_Canal_Households,Location_of_drinking_water_source_Near_the_premises_Households,Location_of_drinking_water_source_Within_the_premises_Households,Main_source_of_drinking_water_Tank_Pond_Lake_Households,Main_source_of_drinking_water_Tapwater_Households,Main_source_of_drinking_water_Tubewell_Borehole_Households,Power_Parity_Less_than_Rs_45000,sex_ratio
Uttaranchal,Pithoragarh,30.14720632,80.34229231,62,UTTARAKHAND,483439,239306,244133,345550,189623,155927,120378,60111,60267,19535,9558,9977,216490,113539,102951,266949,5432,6055,67671,475105,6015,1401,260,185,13,30,430,45365,95421,1344,7932,183687,26256,209943,63591,87585,56591,42086,28375,273494,116749,92517,1600,3008,20473,6136,3628,58592,2037,58954,67332,5112,58037,61543,94192,14522,5118,2067,40377,46575,1784,88949,16,105,102
Uttaranchal,Tehri Garhwal,30.46370092,78.48783793,59,UTTARAKHAND,618931,297986,320945,407994,227406,180588,102130,50371,51759,875,459,416,280442,140821,139621,338489,8129,4021,81171,609835,7374,656,290,32,91,109,544,50929,117239,1366,7831,227059,27177,254236,72163,103462,74008,58434,30704,368324,139371,109998,3876,4324,17689,9697,2164,90594,2895,68294,98205,5447,78515,74477,114292,13655,7511,2673,50396,43048,2113,103160,49,129,108
Uttaranchal,Udham Singh Nagar,29.02779578,79.45629005,67,UTTARAKHAND,1648902,858783,790119,1037839,598525,439314,238264,124385,113879,123037,61758,61279,591458,444578,146880,1057444,165250,26396,277126,1104452,372267,6064,162768,505,738,159,1949,116576,254802,7883,28053,269406,145253,414659,179602,302653,169274,113661,111062,1042614,392370,212223,194624,16841,23665,88369,10066,205913,14950,192243,228966,12987,207469,207848,255817,30144,185252,72,45902,242986,310,110297,9841,280,92
Uttaranchal,Uttarkashi,30.96895855,78.56880615,56,UTTARAKHAND,330086,168597,161489,215126,128237,86889,80567,40833,39734,3512,1651,1861,157276,84265,73011,172810,4387,3122,32503,324859,3554,353,167,563,74,105,411,21374,52621,602,4104,112148,9061,121209,43442,46625,30901,24989,18882,202426,75997,51245,1353,1637,8373,4046,882,40344,924,29400,43020,1794,36136,29106,55125,8431,1265,1367,19107,28531,530,53576,7,73,96
West Bengal,Bankura,23.08128089,87.12640054,339,WEST BENGAL,3596674,1838095,1758579,2232992,1299337,933655,1174447,593440,581007,368690,183467,185223,1466220,1050822,415398,2130454,647374,61386,447737,3033581,290450,3865,386,260,2904,260694,4534,45126,334670,4273,34128,900515,90885,991400,450029,545200,261478,143882,133465,1942335,1014764,637834,546543,7898,108877,72350,12915,263516,6298,177819,297338,20907,136050,153487,736418,10490,570733,3939,320938,149249,1022,90581,175975,818,96
West Bengal,Barddhaman,23.44445389,87.81505811,335,WEST BENGAL,7717563,3966889,3750674,5247208,2918040,2329168,2115719,1079584,1036135,489447,243581,245866,2911251,2293083,618168,4806312,973182,124558,1471345,6008472,1599764,21220,16675,1602,1674,44968,23188,292585,1049943,32323,141387,1364868,862368,2227236,800473,1437198,698251,405935,439823,4149420,2265543,1292913,1104486,46714,263907,263368,46649,810210,51392,747286,930784,73925,804546,949552,1485095,136517,965484,3377,660072,603999,2492,615383,239336,1379,95
West Bengal,Birbhum,24.06389343,87.65153089,334,WEST BENGAL,3502404,1790920,1711484,2158447,1201481,956966,1033140,529001,504139,242484,119787,122697,1331603,1029770,301833,2170801,611510,65062,427777,2181515,1298054,10906,582,258,1152,6051,3886,57010,333752,5210,39636,831044,134565,965609,417769,661190,245201,122865,115743,2008655,952059,539463,451618,7305,102820,54557,12843,238435,6622,191514,272320,21042,186877,195797,764002,14309,633070,2587,387558,140634,916,129079,147657,791,96
West Bengal,Dakshin Dinajpur,25.34209436,88.6982168,331,WEST BENGAL,1676276,857199,819077,1083685,596474,487211,482754,248312,234442,275366,138025,137341,702987,499560,203427,973289,279932,32290,197489,1232850,412788,24794,276,148,323,2786,2311,37186,168069,2518,24318,390949,70077,461026,247675,323965,135556,63286,52345,937283,465982,271423,225689,6211,38250,20163,5278,140781,3105,103980,154925,8866,86762,145974,381199,7064,359461,217,146370,149127,232,30454,86398,429,96
West Bengal,Darjiling,26.83961957,88.33145067,327,WEST BENGAL,1846823,937259,909564,1315585,717673,597912,317275,161495,155780,397389,197251,200138,683726,479586,204140,1163097,66041,16579,524928,1366681,105086,141848,2032,209240,1840,15523,4573,141897,297176,10943,38065,303284,215675,518959,183479,344865,176129,113905,110193,1031221,523288,289979,125953,15192,71054,39828,7465,214598,14213,222987,239601,17538,196540,251140,305878,48498,56519,1776,110011,144712,4010,130225,27749,366,97
West Bengal,Haora,22.40167417,87.99421177,341,WEST BENGAL,4850029,2500819,2349210,3605206,1942824,1662382,718951,367053,351898,15094,7761,7333,1819845,1498170,321675,3030184,181662,297774,1259834,3535844,1270641,8666,4380,1258,9699,1265,18276,325053,796953,30751,99261,483384,869313,1352697,516323,1059842,446743,284481,304594,2587164,1423304,833104,576054,22295,340533,122818,33008,572020,29557,539312,659579,54551,455139,768670,861570,140302,683400,423,463040,255927,1255,329473,216717,760,94
West Bengal,Hugli,22.87929265,88.00010265,338,WEST BENGAL,5519145,2814653,2704492,4078388,2211777,1866611,1344021,680992,663029,229243,113249,115994,2152870,1713608,439262,3366275,583380,111828,1197982,4574569,870204,7300,2662,1730,2160,49050,11470,319815,965258,31725,118459,992085,647953,1640038,676265,1172797,515807,333658,380060,2766489,1688206,1060821,903374,24013,303088,167753,40997,661149,30270,628340,780325,78179,613305,903933,1121201,111963,803670,2920,470212,483054,2474,442520,249220,1048,96
West Bengal,Jalpaiguri,26.62642031,89.04154375,328,WEST BENGAL,3872846,1983064,1889782,2498780,1396622,1102158,1458278,750841,707437,731704,365868,365836,1512910,1091361,421549,2359936,349672,30090,918216,3156781,445817,186279,2994,50676,1461,23816,5022,138522,382500,9322,48818,798378,319426,1117804,455854,765613,292056,150360,129393,2259507,1035449,575667,502539,16431,69407,67075,13310,292839,12288,268908,332800,26651,302540,428531,693346,77231,304467,7022,239567,478249,2588,187441,97725,863,95
West Bengal,Kolkata,22.55058148,88.35276481,342,WEST BENGAL,4496694,2356766,2139928,3588137,1926915,1661222,241932,128053,113879,10684,5729,4955,1795740,1412466,383274,2700954,12388,68438,1698875,3440290,926414,39758,13849,4771,21178,1452,48982,623579,927602,136618,252644,0,1308106,1308106,255171,597841,555529,425245,691804,2025389,1433314,1014769,252887,85605,458342,117173,58403,631098,96030,816141,857883,168382,868116,915319,540172,385117,95578,1464,207658,698088,3606,849526,55389,363,91
West Bengal,Maldah,25.08026803,88.17191685,332,WEST BENGAL,3988845,2051541,1937304,2086432,1152019,934413,835430,432744,402686,313984,157528,156456,1537847,1086461,451386,2450998,545759,196687,540219,1914352,2045151,13209,747,359,639,7929,6459,54213,297716,5357,63525,830318,128678,958996,478902,629137,238078,109719,92207,2511004,955283,520122,401774,9639,80307,41600,12266,269454,6001,142659,295922,14202,175732,266247,810212,12496,622045,1850,302336,305711,1571,129224,182281,946,94
