State,District,Latitude,Longitude,District code,State name,Population,Male,Female,Literate,Male_Literate,Female_Literate,SC,Male_SC,Female_SC,ST,Male_ST,Female_ST,Workers,Male_Workers,Female_Workers,Non_Workers,Agricultural_Workers,Household_Workers,Other_Workers,Hindus,Muslims,Christians,Sikhs,Buddhists,Jains,Others_Religions,Religion_Not_Stated,LPG_or_PNG_Households,Housholds_with_Electric_Lighting,Households_with_Internet,Households_with_Computer,Rural_Households,Urban_Households,Households,Below_Primary_Education,Primary_Education,Secondary_Education,Higher_Education,Graduate_Education,Age_Group_0_29,Age_Group_30_49,Age_Group_50,Households_with_Bicycle,Households_with_Car_Jeep_Van,Households_with_Radio_Transistor,Households_with_Scooter_Motorcycle,Households_with_Landline_only,Households_with_Mobile_only,Households_with_TV_Computer_Laptop_Telephone_mobile_phone_and_Scooter_Car,Households_with_Television,Households_with_Telephone_Mobile_Phone,Households_with_Telephone_Mobile_Phone_Both,Having_bathing_facility_Total_Households,Having_latrine_facility_within_the_premises_Total_Households,Ownership_Owned_Households,Ownership_Rented_Households,Main_source_of_drinking_water_Handpump_Tubewell_Borewell_Households,Main_source_of_drinking_water_River_Canal_Households,Location_of_drinking_water_source_Near_the_premises_Households,Location_of_drinking_water_source_Within_the_premises_Households,Main_source_of_drinking_water_Tank_Pond_Lake_Households,Main_source_of_drinking_water_Tapwater_Households,Main_source_of_drinking_water_Tubewell_Borehole_Households,Power_Parity_Less_than_Rs_45000,sex_ratio
Daman and Diu,Daman,20.43161667,72.83923661,495,DAMAN AND DIU,191173,124659,66514,150348,104316,46032,4262,2224,2038,15240,7702,7538,105521,94502,11019,85652,481,409,102786,171537,16087,2618,169,216,244,79,223,25844,49249,1316,4543,10006,61073,71079,8957,28094,26991,14170,9128,122589,52868,15428,14642,3163,10502,14167,1718,39565,2827,28433,43171,1888,40804,40951,14722,33493,14176,2,11808,37112,12,34905,10900,893,53
Daman and Diu,Junagadh,20.72568199,70.8398564,479,GUJARAT,2743082,1404356,1338726,1842818,1046981,795837,265793,136319,129474,55571,28463,27108,1123709,801859,321850,1619373,333996,9645,412757,2397056,334858,2586,1110,1291,3841,77,2263,144561,498326,6628,26991,489237,287506,776743,271762,700258,311849,137505,139957,1527888,749156,461650,189600,17447,60302,195597,15291,364428,15979,318954,406578,26859,344568,313730,457405,57119,100983,336,124396,317838,1942,336428,48359,419,95
Gujarat,Junagadh,20.92952301,70.5473389,479,GUJARAT,2743082,1404356,1338726,1842818,1046981,795837,265793,136319,129474,55571,28463,27108,1123709,801859,321850,1619373,333996,9645,412757,2397056,334858,2586,1110,1291,3841,77,2263,144561,498326,6628,26991,489237,287506,776743,271762,700258,311849,137505,139957,1527888,749156,461650,189600,17447,60302,195597,15291,364428,15979,318954,406578,26859,344568,313730,457405,57119,100983,336,124396,317838,1942,336428,48359,419,95
Goa,North Goa,15.54872342,73.80667998,585,GOA,818008,416677,401331,663060,351738,311322,17606,8712,8894,56606,27824,28782,327658,239125,88533,490350,14120,8862,289274,622213,57941,134169,618,553,546,166,1802,132612,173951,23440,56266,115859,209230,325089,40968,101521,153887,87513,86781,380926,260533,175035,41713,44342,57581,101378,20197,99169,40352,146307,158921,39555,159976,140924,145651,26362,461,447,27004,144020,774,150059,388,122,96
Goa,South Goa,15.19527866,73.9417926,586,GOA,640537,322463,318074,502427,264085,238342,7843,3915,3928,92669,45124,47545,249590,180411,69179,390947,12640,5846,215152,341664,63623,231961,855,542,563,92,1237,102191,138810,17624,44299,88620,162873,251493,29874,73039,108989,64786,57460,314480,194872,130605,37799,35031,42926,82436,18811,74364,31413,115535,128759,35584,129135,116414,108881,29829,645,628,22951,113324,351,125635,467,87,99
Gujarat,Ahmadabad,22.60542556,72.23898136,474,GUJARAT,7214225,3788051,3426174,5435760,3025463,2410297,759483,399075,360408,89138,47106,42032,2594952,2127547,467405,4619273,268954,54876,2128452,6042416,883238,50754,14542,4518,209287,2055,7415,965017,1456046,126341,273651,353169,1845383,2198552,761358,1614370,1135058,549188,839295,3952858,2043895,1198152,680535,174812,501082,692591,77256,923594,228737,1159650,1196482,195632,1295122,1241055,1193694,269205,180755,2447,145695,1286525,3407,1265476,158096,614,90
Gujarat,Amreli,21.04832649,71.43457638,480,GUJARAT,1514190,771049,743141,995459,558180,437279,132915,68518,64397,7322,3856,3466,657139,453642,203497,857051,209935,6083,208995,1410463,99105,919,415,243,2053,40,952,80378,273331,2538,12765,313714,116899,430613,230474,412251,149478,66785,50999,836343,389892,282409,96477,10236,31204,113906,9469,198302,6639,164282,222389,14618,201157,173045,265928,21529,63392,1332,56216,191055,300,200362,32323,225,96
Gujarat,Anand,22.28271821,72.57782052,482,GUJARAT,2092745,1087224,1005521,1551253,874481,676772,104465,54476,49989,24824,12761,12063,844794,627561,217233,1247951,346329,16460,329593,1798794,250919,29789,1524,267,8591,142,2719,147122,378310,9902,32523,413078,208909,621987,257524,560542,283571,127459,110351,1134962,585093,366419,172466,19352,64013,104613,21978,187528,20391,203467,244185,34679,254683,230571,379759,31488,78937,188,98762,283725,71,323542,51975,261,92
Gujarat,Banas Kantha,24.25853897,71.93205253,469,GUJARAT,3120506,1610379,1510127,1704923,1048402,656521,327460,169288,158172,284155,144355,139800,1248600,836268,412332,1871906,350541,11812,410662,2890305,213505,1686,486,281,12659,83,1501,84832,396873,3424,23149,666773,137424,804197,366867,859436,226765,105372,66950,1984701,738412,394793,75914,22723,53646,68665,8029,345550,8302,144792,369986,16407,229091,146022,515862,33035,173436,945,170764,295278,128,347860,151670,479,94
Gujarat,Bharuch,21.75787276,72.67326347,488,GUJARAT,1551019,805707,745312,1118276,623047,495229,62235,31979,30256,488194,250398,237796,627124,468919,158205,923895,253577,8902,286525,1188204,343511,9494,1733,442,4813,342,2480,121542,309091,10257,29531,300677,181319,481996,161675,367060,188539,83895,74380,844298,442523,254728,96508,21579,50018,104126,12246,176875,20255,178535,215142,26021,261660,204943,279792,44555,58860,2217,95961,204663,112,253257,24691,213,93
Gujarat,Bhavnagar,21.7021939,72.16272633,481,GUJARAT,2880365,1490201,1390164,1887255,1087371,799884,157034,80827,76207,9110,4751,4359,1150632,838781,311851,1729733,334025,17996,566815,2632574,212863,3457,1410,445,26974,127,2515,171327,500757,7297,28925,387251,356826,744077,422461,929286,281250,96241,93391,1708938,720241,445121,238912,17517,74663,200864,13792,363545,18127,293361,400446,23109,375112,292210,467094,61608,78614,1966,99637,361542,702,390572,35266,359,93
Gujarat,Gandhinagar,23.19367979,72.6722168,473,GUJARAT,1391753,723864,667889,1030494,582686,447808,108608,56919,51689,18204,9711,8493,534976,408075,126901,856777,129356,8600,292873,1319586,57273,3237,1985,497,6405,82,2688,132683,262539,12107,33662,237624,195634,433258,136131,363156,196456,95730,108400,769329,391862,224886,121735,26385,62348,106981,10124,171699,25749,178594,204833,23010,193174,171166,234873,41902,26098,166,53744,222079,31,257436,24410,460,92
Gujarat,Jamnagar,22.41060041,69.62062006,477,GUJARAT,2160119,1114192,1045927,1396534,795140,601394,173895,89597,84298,24187,12415,11772,847440,646822,200618,1312679,147193,11359,424570,1810443,320805,4392,1873,1086,18856,136,2528,142974,386538,11573,30384,347158,299167,646325,255785,491009,199634,74029,87523,1220598,576319,358455,157250,20471,67005,185194,12625,291406,20728,270555,331968,27937,285899,242841,354786,56645,70448,826,88844,276247,1619,290541,33615,268,94
Gujarat,Kachchh,23.48057203,68.82192301,468,GUJARAT,2092371,1096737,995634,1252319,739239,513080,258859,133224,125635,24228,12825,11403,776228,624704,151524,1316143,183971,10802,475579,1608921,442355,6192,6353,490,25312,98,2650,140067,403294,9631,31961,488293,250982,739275,246956,469402,157284,61366,60386,1278604,524052,286086,83904,28788,68552,140540,9226,304000,21858,250397,339331,26105,329920,280257,328271,83137,25411,848,78224,313045,5191,367140,22738,197,91
Gujarat,Kheda,22.88765313,73.01880352,483,GUJARAT,2299885,1185727,1114158,1660243,942480,717763,115631,59734,55897,40336,21057,19279,933983,674586,259397,1365902,359842,12455,322445,2000884,264482,26629,1403,300,3479,82,2626,99982,372226,5710,24502,461479,160547,622026,295057,641541,310341,148530,84223,1260660,628221,388646,146364,12788,61231,84414,14099,181434,12080,171342,218734,23201,220959,172599,429236,22358,124935,1194,157901,233592,100,302055,68378,320,94
Gujarat,Mahesana,23.52935545,72.45545194,471,GUJARAT,2035064,1056520,978544,1502645,847499,655146,162288,84470,77818,9392,4879,4513,812064,588699,223365,1223000,242969,10282,369053,1885732,136431,1954,1082,146,7087,88,2544,180985,385609,7759,33731,476005,183738,659743,260278,467128,266108,139208,130723,1119451,554432,357578,143818,25163,44999,119579,15705,255293,21611,245131,301436,30438,290574,232825,371860,43193,37879,1257,74023,328355,61,375792,37143,296,93
Gujarat,Narmada,21.70666386,73.68403209,487,GUJARAT,590297,301086,289211,370336,211767,158569,8733,4465,4268,481392,244524,236868,294795,174282,120513,295502,188030,2594,41348,559848,22600,4413,147,80,373,2078,758,12997,101940,576,4081,138121,22248,160369,76197,146661,52687,28396,14748,336830,157910,93466,29316,2442,12913,18771,2354,38303,1182,31194,43827,3170,65190,27223,115602,4801,74178,2028,61283,40740,219,41369,5565,100,96
Gujarat,Navsari,20.86697332,72.8618487,490,GUJARAT,1329672,678165,651507,1001909,539471,462438,35464,17959,17505,639659,319740,319919,591834,407881,183953,737838,206608,7173,265244,1225087,78669,5733,2459,601,13386,2823,914,114620,267679,6726,24397,267739,141417,409156,145678,266733,190861,112460,85041,673014,390349,258957,136665,18669,57934,115177,10792,155168,16602,153431,191691,25731,201380,168150,262571,25882,115032,385,100295,157653,36,148017,50626,164,96
Gujarat,Panch Mahals,22.80435607,73.61984598,484,GUJARAT,2390776,1226961,1163815,1440805,858054,582751,100446,51278,49168,721604,368348,353256,1097507,673565,423942,1293269,376038,10771,253930,2220974,158513,2863,662,337,5236,131,2060,59096,398937,3456,19753,463363,104238,567601,255905,601358,283648,139773,71810,1421859,599925,363391,120545,9656,51901,72703,8391,192790,7024,90896,214889,13708,181557,121676,425072,15044,202611,4067,204393,129165,376,121463,20886,395,95
Gujarat,Patan,23.80634198,71.75162977,470,GUJARAT,1343734,694397,649337,837913,494631,343282,123408,64190,59218,13303,6835,6468,554830,383074,171756,788904,227080,6392,184768,1194745,142797,916,337,66,3602,66,1205,66310,223424,2231,12870,301483,102655,404138,168990,364667,129584,57494,46355,786357,341381,213465,66270,7802,22405,41235,7733,158057,5271,108006,176829,11039,157715,123977,245138,19197,21289,1351,59045,182619,1379,233095,20071,205,94
Gujarat,Porbandar,21.55092352,69.71896988,478,GUJARAT,585449,300209,285240,393678,221621,172057,51830,26607,25223,13039,6730,6309,231169,174118,57051,354280,48964,2371,114132,549749,33565,500,248,91,515,38,743,41686,117040,1653,5639,96015,87557,183572,50588,150643,63458,25119,22458,314886,163777,105638,40784,4395,17522,45156,4008,81985,3545,80820,92715,6722,79955,72287,103353,16208,16239,129,30631,72890,2362,77490,6942,74,95
Gujarat,Rajkot,22.40603378,70.83679439,476,GUJARAT,3804558,1974445,1830113,2725056,1514075,1210981,290169,149782,140387,24017,12504,11513,1479050,1159480,319570,2325508,214285,23780,891628,3397406,361388,5478,1918,1170,33591,269,3338,362140,747352,21785,67370,459474,721532,1181006,383780,913928,540278,204306,266295,2080568,1052871,659576,355586,55289,211531,428744,30503,558748,52563,571843,651936,62685,593448,543342,644828,111779,79342,1540,114748,605196,2117,651594,41220,455,93
Gujarat,Sabar Kantha,23.71803595,73.1363879,472,GUJARAT,2428589,1244231,1184358,1578734,918625,660109,187685,96527,91158,542156,272531,269625,1084878,681435,403443,1343711,333867,10909,373391,2260560,148563,6375,614,168,11110,52,1147,99037,438606,5262,25425,544024,121509,665533,214062,597667,333650,198963,110817,1393131,630963,400905,112045,22379,36688,122399,15518,216346,12807,180909,269423,37559,231094,182583,450063,22065,138770,533,147230,251245,127,294228,69046,395,95
Gujarat,Surat,21.25761373,72.93488716,492,GUJARAT,6081322,3402224,2679098,4571410,2687468,1883942,158115,82202,75913,856952,432089,424863,2553542,2142819,410723,3527780,325739,42040,2076214,5260193,660772,21052,5703,12902,112835,3920,3945,815423,1252452,55694,149331,369840,1529998,1899838,566242,1332690,896927,433651,379505,3563443,1740746,723415,397563,106983,395329,530528,39959,855336,112976,788447,995637,100342,1150519,1103767,788508,478407,207420,402,228438,1009087,84,1047402,117310,712,79
Gujarat,Surendranagar,22.82672007,71.48358741,475,GUJARAT,1756268,909917,846351,1093626,643221,450405,179461,93427,86034,21453,11068,10385,723500,504038,219462,1032768,270861,9518,257886,1620282,109681,1419,512,312,22992,128,942,77857,302068,2975,15309,340788,159810,500598,234873,482679,172947,61164,58389,1033435,439352,280582,135074,10088,43874,99436,6932,228637,8028,177591,246026,10457,192991,120741,306924,26468,32482,2405,75387,198405,3839,238259,19438,286,93
Gujarat,The Dangs,20.80163388,73.68835184,489,GUJARAT,228291,113821,114470,140968,77314,63654,992,490,502,216073,107539,108534,118257,61329,56928,110034,40486,1172,12038,203545,3593,20029,69,32,39,560,424,2029,29794,137,1393,52102,7516,59618,43639,59954,14872,7560,3490,146095,51821,30027,6914,991,8955,5662,784,9243,271,9262,11148,1121,20702,13736,46314,1291,23736,914,23264,5457,9,8485,1894,43,101
Gujarat,Vadodara,22.26133739,73.4943301,486,GUJARAT,4165626,2153736,2011890,2893080,1614087,1278993,221629,114602,107027,1149901,586665,563236,1693473,1233312,460161,2472153,570361,17680,793306,3713941,384579,23813,9340,2069,27650,1124,3110,411734,798277,53606,117818,547454,692971,1240425,396624,865726,504732,268451,314960,2213474,1190041,733710,399901,72630,264896,351423,37602,462473,95845,497049,583926,83851,632580,543474,771779,88479,198108,5373,218599,567053,560,639002,39945,473,93
Gujarat,Valsad,20.44238232,72.91485848,491,GUJARAT,1705678,887222,818456,1170657,655528,515129,38237,19557,18680,902794,450976,451818,743245,516188,227057,962433,183025,11833,400818,1571147,94034,19661,1589,913,13809,1417,3108,137209,329218,11020,31285,262410,235981,498391,165459,303197,212318,123281,90912,944532,485874,259906,119338,23938,52199,128491,10408,209929,21685,188248,242422,22085,232568,170861,297911,58586,189033,2848,128462,163491,513,119981,66781,223,92
Haryana,Ambala,30.35036723,76.94970311,70,HARYANA,1128350,598703,529647,818025,461288,356737,296246,156874,139372,0,0,0,372139,320120,52019,756211,57293,15753,246222,955096,22143,3705,138202,381,4845,110,3868,121622,199681,12899,32767,175365,139891,315256,89558,170110,163544,97980,91472,617859,308126,201685,133676,26122,32571,92424,15833,124292,23884,172034,170149,30024,186183,142922,183898,18611,32215,32,27750,175374,106,173860,14874,100,88
Haryana,Bhiwani,28.72886806,76.02110226,81,HARYANA,1634445,866672,767773,1069871,643158,426713,341162,181475,159687,0,0,0,623006,430678,192328,1011439,103788,14855,215820,1611031,15515,873,2401,254,1016,26,3329,88938,266244,5292,25236,357047,99235,456282,186145,223049,218631,148995,104875,964960,405760,261428,99232,16793,58375,66069,10057,221159,11346,176336,242718,11502,241914,175689,293443,11408,68692,347,84400,164410,3557,203509,36262,150,89
Haryana,Faridabad,28.1487311,77.32718537,88,HARYANA,1809733,966110,843623,1272739,734940,537799,223799,119495,104304,0,0,0,579229,476933,102296,1230504,29288,32286,489950,1588407,161680,9743,34572,640,4883,249,9559,258422,333171,43437,82673,87700,382981,470681,137902,220384,282666,178846,259933,1095602,481318,231029,170927,63470,67341,152884,20485,240316,64331,279652,302937,42136,313812,296399,276186,69917,114361,187,65216,253688,5639,211123,46224,156,87
Haryana,Fatehabad,29.57298319,75.54608717,78,HARYANA,942011,495360,446651,557578,327471,230107,284357,149111,135246,0,0,0,369083,263498,105585,572928,97997,6558,132278,779243,8360,996,150969,171,1172,530,570,51693,153301,3210,13142,203020,55360,258380,103541,136663,93526,61476,37741,555745,237009,147469,86268,14030,29817,52633,4347,120937,7830,107042,136196,10912,152219,134586,162708,8832,41039,1970,39877,122912,1773,128708,25578,89,90
Haryana,Gurgaon,28.04389479,77.0193513,86,HARYANA,1514432,816690,697742,1111116,638666,472450,197937,104332,93605,0,0,0,544716,432456,112260,969716,27097,18228,443345,1408801,70842,9725,15097,944,7451,254,1318,238359,305751,67087,102343,141703,381988,523691,126920,177453,219200,150120,233402,875531,428101,210307,103261,92934,83772,131478,19984,201135,86768,248024,274931,53812,290709,271169,211728,98060,93746,264,44026,257287,1253,219377,81189,85,85
Haryana,Hisar,29.23628731,75.84324683,80,HARYANA,1743931,931562,812369,1114311,670200,444111,408785,217338,191447,0,0,0,691621,488321,203300,1052310,144213,16097,270191,1701061,21650,1945,12270,334,3620,33,3018,110495,285004,10132,33400,302013,154113,456126,197303,230074,202792,144626,105346,1017830,456536,265109,147721,24642,65713,90721,11379,231246,21142,202588,259276,16651,273915,231144,295628,23078,78490,4199,76543,194669,4792,218535,11612,167,87
Haryana,Jhajjar,28.59651868,76.61137143,83,HARYANA,958405,514667,443738,676091,399480,276611,170448,90856,79592,0,0,0,326534,250020,76514,631871,44845,9254,160046,945693,8247,734,1042,105,645,22,1917,70149,168558,5034,19241,211816,78328,290144,90737,109829,145258,97457,58826,549975,245095,162356,69952,14298,40791,52868,11057,123227,9674,128007,145032,10748,153834,123545,168223,12154,36644,173,36547,114081,1670,133448,14363,81,86
Haryana,Jind,29.45149822,76.29598576,77,HARYANA,1334152,713006,621146,832758,502049,330709,282351,150940,131411,0,0,0,523422,368277,155145,810730,102071,9114,181850,1276669,23016,889,29103,172,2594,56,1653,78386,222462,5263,23750,278335,89665,368000,136892,185626,154773,107994,64599,784085,335704,213478,113068,15836,40480,61694,11087,168445,10485,160742,193577,14045,186317,146428,227870,12316,89084,542,73935,119784,1170,129177,43302,131,87
Haryana,Kaithal,29.96068539,76.3769893,73,HARYANA,1074304,571003,503301,646529,385782,260747,247513,131486,116027,0,0,0,373899,292696,81203,700405,85651,9450,150782,974520,8232,1769,87558,265,351,70,1539,62668,187349,3724,15301,231091,75696,306787,119345,158239,117753,82297,51043,630194,265813,176320,95704,12792,36696,59238,6044,138662,8124,140195,153352,8646,153556,126896,189832,7550,77712,354,60650,114419,897,116339,45149,100,88
Haryana,Karnal,29.70320065,76.87488026,74,HARYANA,1505324,797712,707612,978013,564516,413497,339604,179681,159923,0,0,0,516062,411646,104416,989262,133723,15311,254740,1341002,31650,2049,126207,532,1516,49,2319,143133,267223,11163,29253,292682,135920,428602,155839,231354,183590,124790,101387,884972,380409,234684,143754,26238,39322,108101,9579,188467,20819,215813,215865,17819,238149,215989,258981,19328,51117,84,45033,225116,277,229500,29657,146,89
Haryana,Kurukshetra,30.0565266,76.7877468,72,HARYANA,964655,510976,453679,646893,370828,276065,215128,113311,101817,0,0,0,336780,268556,68224,627875,85890,6726,175256,805175,15970,1943,140395,214,375,106,477,90150,171908,7356,21951,203553,88268,291821,94530,145392,120790,81964,71007,552034,250830,160216,107683,20261,30979,73765,8235,119559,15839,143316,145855,18061,152922,136321,162147,13063,25561,17,28663,144159,59,152471,23107,83,89
Haryana,Mahendragarh,28.13521615,76.14018073,84,HARYANA,922088,486665,435423,630255,380440,249815,156314,82420,73894,0,0,0,338584,232935,105649,583504,38320,7639,143479,913251,5660,301,1737,75,644,15,405,45359,135455,2624,13908,223726,44216,267942,94273,135849,132765,94245,60296,530000,229392,161258,54810,8538,25809,45775,5274,119066,5827,88012,133653,9313,113329,74605,162961,3691,40151,60,55460,80378,5698,108389,37955,80,89
Haryana,Panchkula,30.70089714,76.97173238,69,HARYANA,561293,299679,261614,405318,229862,175456,101830,53868,47962,0,0,0,211479,164865,46614,349814,12827,9870,162100,490702,23451,2583,40951,1008,1626,90,882,69687,103455,18615,32174,70895,93656,164551,45607,73584,69163,48306,83256,309078,157076,93606,42737,29497,27618,49972,7872,60941,27786,88378,92486,23673,94560,77967,78722,24115,5218,318,22286,82195,444,99720,3329,42,87
Haryana,Panipat,29.34352134,76.92895915,75,HARYANA,1205437,646857,558580,786599,464136,322463,206213,109695,96518,0,0,0,412318,328667,83651,793119,62358,15824,262016,1083936,86622,2261,25064,289,4647,99,2519,121846,209965,10024,26719,173502,153804,327306,118873,170565,141473,91756,75774,739075,298764,167244,90548,17466,26625,74923,8489,150926,17705,162321,172677,13262,191098,176766,182191,32473,69876,208,53544,148894,467,145881,41486,91,86
Haryana,Rewari,28.19164715,76.55956008,85,HARYANA,900332,474335,425997,636947,375453,261494,182606,95571,87035,0,0,0,337727,235326,102401,562605,28215,9782,197032,889133,5713,701,1804,202,1525,12,1242,62667,152651,5121,18092,199449,69305,268754,81280,120860,139646,95807,65143,518747,230704,150557,71366,12161,28534,58897,8629,113600,10676,108753,137152,14923,134804,100436,156650,9969,37962,147,35782,114709,1773,122608,24732,72,90
Haryana,Rohtak,28.89251765,76.53123235,82,HARYANA,1061204,568479,492725,747582,436025,311557,216889,115573,101316,0,0,0,345967,272646,73321,715237,36568,8521,205146,1043887,8185,732,3916,200,3491,24,769,94633,193120,8482,27225,175203,131739,306942,117097,150903,168499,109596,100346,605741,269354,185685,91682,16545,39834,63575,9432,137267,17402,150160,160621,13922,174390,147990,185204,15541,35577,1086,37780,136781,440,154010,10545,77,87
Haryana,Sirsa,29.63583446,74.9097048,79,HARYANA,1295189,682582,612607,782897,456968,325929,387381,202430,184951,0,0,0,502003,369462,132541,793186,147042,11952,178712,940255,9524,2186,338962,370,2256,624,1012,70538,215527,6287,22706,245476,93316,338792,141766,201349,134559,83373,61620,750228,334344,208185,117760,24468,45101,75692,7898,165463,13695,150315,190983,17622,216307,215371,219428,12951,26345,3363,33381,196564,1906,204475,19947,113,90
Himachal Pradesh,Chamba,32.66741815,76.39354063,23,HIMACHAL PRADESH,519080,261320,257760,323842,186064,137778,111690,56154,55536,135500,67900,67600,294035,158791,135244,225045,9193,4521,83656,479782,32455,1559,2745,1740,57,14,728,21458,96082,1615,5117,186395,13836,200231,56272,96789,64515,40440,15506,306555,130606,81566,1657,5074,25935,8880,2362,64850,2391,62233,73995,6783,46292,52553,94367,6546,1031,371,55088,36220,154,96451,9,118,99
Himachal Pradesh,Hamirpur,31.67668481,76.49767089,28,HIMACHAL PRADESH,454768,217070,237698,358091,180555,177536,109256,53727,55529,3044,1531,1513,241931,118724,123207,212837,8824,3347,82657,449412,3711,243,591,95,293,9,414,34978,104120,2521,7525,196116,15232,211348,37327,71107,91184,64363,35620,224044,123941,106641,7094,6665,23628,16955,16840,53918,3438,86324,90286,19528,86909,93858,99538,4452,5691,22,29624,69696,140,94807,208,95,110
Himachal Pradesh,Hamirpur,31.67668481,76.49767089,168,UTTAR PRADESH,1104285,593537,510748,653299,408125,245174,241198,130269,110929,474,259,215,443655,308527,135128,660630,181449,19876,112016,1010014,91269,814,196,74,41,273,1604,20175,55929,1196,11037,256081,55300,311381,159593,238344,103334,59914,59612,660774,260368,181109,99240,3791,54513,24522,4934,130019,1757,48564,137792,2839,120259,68771,202503,4809,158137,255,120508,47183,90,40314,588,240,86
Uttar Pradesh,Hamirpur,25.73815838,79.8261948,28,HIMACHAL PRADESH,454768,217070,237698,358091,180555,177536,109256,53727,55529,3044,1531,1513,241931,118724,123207,212837,8824,3347,82657,449412,3711,243,591,95,293,9,414,34978,104120,2521,7525,196116,15232,211348,37327,71107,91184,64363,35620,224044,123941,106641,7094,6665,23628,16955,16840,53918,3438,86324,90286,19528,86909,93858,99538,4452,5691,22,29624,69696,140,94807,208,95,110
Uttar Pradesh,Hamirpur,25.73815838,79.8261948,168,UTTAR PRADESH,1104285,593537,510748,653299,408125,245174,241198,130269,110929,474,259,215,443655,308527,135128,660630,181449,19876,112016,1010014,91269,814,196,74,41,273,1604,20175,55929,1196,11037,256081,55300,311381,159593,238344,103334,59914,59612,660774,260368,181109,99240,3791,54513,24522,4934,130019,1757,48564,137792,2839,120259,68771,202503,4809,158137,255,120508,47183,90,40314,588,240,86
Himachal Pradesh,Kangra,32.14093603,76.41205911,24,HIMACHAL PRADESH,1510075,750591,759484,1152640,606443,546197,319385,159697,159688,84564,41745,42819,675170,403756,271414,834905,54849,15662,301652,1461140,19797,3023,8929,14511,194,208,2273,148361,330081,8053,22753,588321,39007,627328,127699,243617,284124,192936,91236,766581,419172,319420,38456,22727,74758,69192,27803,203232,12858,272579,274180,43145,229975,220258,314828,16832,18358,237,105689,200604,644,301016,1716,317,101
Himachal Pradesh,Kinnaur,31.60667184,78.51613736,34,HIMACHAL PRADESH,84121,46249,37872,60699,36697,24002,14750,7433,7317,48746,23609,25137,56273,33863,22410,27848,2537,944,19797,64732,448,485,249,18086,29,45,47,10740,17865,354,2563,44514,0,44514,9400,13749,11140,7871,5118,42360,26599,15075,190,2775,6453,857,923,12885,611,12925,16468,2660,13902,13521,13926,4511,130,174,6083,11752,98,17996,86,21,82
Himachal Pradesh,Kullu,31.90911922,77.40922649,26,HIMACHAL PRADESH,437903,225452,212451,307672,174550,133122,122659,62686,59973,16822,8493,8329,269084,148829,120255,168819,12372,2707,56864,415669,2974,1568,1396,15377,94,83,742,40064,91322,2623,7010,167995,20709,188704,48384,77363,58122,39081,23168,244727,120510,72282,2450,8479,21750,6979,2271,68134,3454,66910,79454,9049,66129,55831,80610,12616,1753,610,38399,46354,451,87848,271,98,94
Himachal Pradesh,Mandi,31.63580594,76.96556931,27,HIMACHAL PRADESH,999777,498065,501712,723747,393669,330078,293739,147250,146489,12787,6345,6442,572671,297464,275207,427106,15822,7134,161771,981412,9460,876,4081,2628,43,86,1191,59324,214491,5333,16401,431129,31696,462825,100052,159043,180188,128549,54139,524285,279321,194661,10927,15958,53382,26366,21431,119439,8055,157314,172205,31335,175038,181985,205510,11024,1860,455,84301,123062,1049,209375,142,233,101
Himachal Pradesh,Shimla,31.15572545,77.62573042,33,HIMACHAL PRADESH,814010,425039,388971,612642,342846,269796,215777,110828,104949,8755,4554,4201,430926,258628,172298,383084,26114,7967,147059,791449,11810,2025,4047,3262,185,197,1035,108888,172754,9177,24127,279269,95896,375165,69967,113536,141490,95341,80414,425721,241956,145577,2813,23107,70807,8186,6859,125896,10363,131450,161675,28920,153356,123535,126522,44241,1382,1134,58532,102066,1390,166551,70,156,92
Himachal Pradesh,Sirmaur,30.68276445,77.4318469,32,HIMACHAL PRADESH,529855,276289,253566,362645,205617,157028,160745,83017,77728,11262,5912,5350,280083,169399,110684,249772,10730,5313,81082,476830,33215,577,15501,2645,236,86,765,28904,91509,2220,8593,171102,21054,192156,57853,100123,67080,38282,23352,310244,136839,82471,16691,7459,26363,17523,5229,62390,3852,58902,75406,7787,74088,60246,83947,10156,8795,1297,40315,39659,1110,75607,1045,124,92
Himachal Pradesh,Solan,31.03864312,76.94442141,31,HIMACHAL PRADESH,580320,308754,271566,428578,244372,184206,164536,85482,79054,25645,13351,12294,298737,190001,108736,281583,10283,4969,142218,548579,14678,1452,13926,574,591,110,410,53722,119866,5250,14478,192787,51509,244296,50331,89407,95232,59363,36803,321533,167168,90808,12426,15117,38632,25275,10150,76524,7887,94692,108699,22025,105861,90587,86649,31305,6105,472,35692,74848,1148,103964,3148,116,88
Himachal Pradesh,Una,31.58330388,76.18353932,29,HIMACHAL PRADESH,521173,263692,257481,399715,213281,186434,115491,58601,56890,8601,4445,4156,215346,141612,73734,305827,19604,3427,107515,480138,14275,390,26009,56,70,10,225,43809,105929,2412,8238,185091,20126,205217,51838,87913,105204,60626,32120,273223,142351,105358,41378,8059,19820,36913,7736,70217,5342,88894,90729,12776,87268,66103,101443,5195,11627,48,30021,71588,128,93873,2419,108,98
